Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-05-04,-0.0059545827,-0.0059545827,0.0033299073,0.0013559372,-0.0005022658,-0.0019268543,-0.0006906014,-0.0003099042,-0.0009860146,-0.0019405968,-0.0012503192
2016-05-05,-0.0002390365,-0.0002390365,0.0083144382,0.0039679576,0.0047362265,0.0066240886,0.0004982272,0.007870324,-0.0009860172,-0.002618419,0.0029856912
2016-05-06,0.0031696107,0.0031696107,0.0027746891,0.0031441073,-0.000502264,0.0025797607,0.0078341793,0.0011793615,-0.0009860172,-0.0091237407,0.0078120539
2016-05-09,0.0007532129,0.0007532129,0.0041959202,-0.0027225623,-0.0005022658,-0.0014454387,-0.0006906012,-0.0003099042,-0.0009860146,-0.0009894855,-0.0005751317
2016-05-10,0.0124063656,0.0124063656,0.0100721074,0.0124655394,0.0119424239,0.011828755,0.0135943219,0.0133813163,0.0119800474,0.0121017583,0.0131825414
2016-05-11,-0.009607523,-0.009607523,-0.0031237477,-0.0016025226,-0.0005022658,-0.0107020326,-0.0006906012,-0.0003099042,0.0093401857,0.0041511822,-0.0051013846
2016-05-12,-0.0001694795,-0.0001694795,0.0088924225,0.0053331177,-0.0005022658,0.002904878,-0.0006906013,-0.0003099042,-0.0009860172,-0.0011832677,-0.0009011105
2016-05-13,-0.0085144341,-0.0085144341,-0.0017131562,0.0012278892,-0.0005022658,-0.0026732944,-0.0006906013,-0.0003099041,-0.0009860172,-0.0040515624,-0.0051520783
2016-05-16,0.0097489765,0.0097489765,0.0048046252,0.0080501083,0.0028817381,0.0099395812,0.0128197595,0.0142125972,0.0064626043,0.0081192423,0.0120164817
2016-05-17,-0.0094558635,-0.0094558635,0.0064957291,0.0019113896,-0.000502264,0.0025381697,-0.0006906013,-0.0003099042,0.0035287952,-0.0006355066,-0.004200343
2016-05-18,0.0002051577,0.0002051577,-0.0013391699,-0.0013610777,-0.0005022658,-0.0049606413,-0.0006906013,-0.0003099063,-0.0009860146,-0.0048701856,-0.0016109133
