Date,Adj Close
2016-01-06,45.73
2016-01-07,46.17
2016-01-08,45.19
2016-01-11,45.3
2016-01-12,45.87
2016-01-13,48.04
2016-01-14,47.98
2016-01-15,49.77
2016-01-18,48.45
2016-01-19,48.66
2016-01-20,47.98
2016-01-21,47.41
2016-01-22,47.98
2016-01-25,48.17
2016-01-26,47.93
2016-01-27,48.02
2016-01-28,48.16
2016-01-29,49.39
2016-02-01,49.58
2016-02-02,49.95
2016-02-03,49.77
2016-02-04,49.11
2016-02-05,50.52
2016-02-08,50.52
2016-02-09,50.52
2016-02-10,50.82
2016-02-11,50.78
2016-02-12,50.08
2016-02-15,51.27
2016-02-16,52.53
2016-02-17,52.59
2016-02-18,52.68
2016-02-19,53.25
2016-02-22,53.77
2016-02-23,54.19
2016-02-24,54.33
2016-02-25,53.15
2016-02-26,53.15
2016-02-29,54.77
2016-03-01,53.64
2016-03-02,53.64
2016-03-03,54.3
2016-03-04,53.14
2016-03-07,51.18
2016-03-08,50.7
2016-03-09,50.07
2016-03-10,50.8
2016-03-11,50.93
2016-03-14,51.19
2016-03-15,51.16
2016-03-16,51.59
2016-03-17,52.58
2016-03-18,54.7
2016-03-21,54.39
2016-03-22,55.08
2016-03-23,55.03
2016-03-24,54.65
2016-03-25,54.65
2016-03-28,54.12
2016-03-29,53.86
2016-03-30,53.95
2016-03-31,54.78
2016-04-01,54.01
2016-04-04,53.6
2016-04-05,54.7
2016-04-06,54.65
2016-04-07,56.89
2016-04-08,55.69
2016-04-11,56.08
2016-04-12,56.25
2016-04-13,55.68
2016-04-14,55.83
2016-04-15,55.85
2016-04-18,56.14
2016-04-19,56.13
2016-04-20,55.74
2016-04-21,58.48
2016-04-22,57.58
2016-04-25,55.79
2016-04-26,54.8
2016-04-27,54.12
2016-04-28,53.31
2016-04-29,53.07
2016-05-02,53.07
2016-05-03,52.97
2016-05-04,52.8
2016-05-05,53.45
2016-05-06,52.54
2016-05-09,53.34
2016-05-10,52.78
2016-05-11,51.15
2016-05-12,51.18
2016-05-13,52.15
2016-05-16,51.71
2016-05-17,51.82
2016-05-18,52.45
2016-05-19,51.61
2016-05-20,51.5
2016-05-23,51.32
2016-05-24,51.25
2016-05-25,51.91
2016-05-26,52.09
2016-05-27,53.26
2016-05-30,53.74
2016-05-31,54.7
2016-06-01,54.36
2016-06-02,53.6
2016-06-03,52.73
2016-06-06,53.16
2016-06-07,54.11
2016-06-08,53.24
2016-06-09,53.18
2016-06-10,53.74
2016-06-13,53.26
2016-06-14,52.35
2016-06-15,52.42
2016-06-16,52.78
2016-06-17,53.13
2016-06-20,53.26
2016-06-21,53.73
2016-06-22,53.96
2016-06-23,53.71
2016-06-24,52.11
2016-06-27,52.37
2016-06-28,54.36
2016-06-29,54.7
2016-06-30,55.96
2016-07-01,55.68
2016-07-04,55.51
2016-07-05,55.28
2016-07-06,55.28
2016-07-07,55.17
2016-07-08,55.12
2016-07-11,55.37
2016-07-12,55.66
2016-07-13,56.31
2016-07-14,55.3
2016-07-15,56.08
2016-07-18,55.66
2016-07-19,55.84
2016-07-20,56.89
2016-07-21,55.18
2016-07-22,55.22
2016-07-25,55.55
2016-07-26,55.22
2016-07-27,55.66
2016-07-28,56.24
2016-07-29,56.91
2016-08-01,55.47
2016-08-02,55.66
2016-08-03,55.39
2016-08-04,55.58
2016-08-05,55.3
2016-08-08,55.43
2016-08-09,55.43
2016-08-10,55.47
2016-08-11,56.52
2016-08-12,57.77
2016-08-15,58.05
2016-08-16,57.15
2016-08-17,58.12
2016-08-18,58.05
2016-08-19,58.43
2016-08-22,58.12
2016-08-23,59.49
2016-08-24,58.91
2016-08-25,58.14
2016-08-26,58.4
2016-08-29,57.95
2016-08-30,58.28
2016-08-31,57.8
2016-09-01,57.95
2016-09-02,58.58
2016-09-05,60.36
2016-09-06,60.57
2016-09-07,60.36
2016-09-08,59.87
2016-09-09,59.36
2016-09-12,59.36
2016-09-13,59.4
2016-09-14,58.36
2016-09-15,58.62
2016-09-16,58.08
2016-09-19,58.82
2016-09-20,60.36
2016-09-21,58.53
2016-09-22,57.42
2016-09-23,58.43
2016-09-26,58.7
2016-09-27,58.43
2016-09-28,58.19
2016-09-29,58.71
2016-09-30,58.54
2016-10-03,58.74
2016-10-04,59.33
2016-10-05,59.39
2016-10-06,58.91
2016-10-07,59.88
2016-10-10,59.99
2016-10-11,59.32
2016-10-12,59.31
2016-10-13,58.69
2016-10-14,59.29
2016-10-17,59.05
2016-10-18,59.05
2016-10-19,59.57
2016-10-20,58.91
2016-10-21,58.43
2016-10-24,58.91
2016-10-25,58.83
2016-10-26,59.2
2016-10-27,58.56
2016-10-28,58.54
2016-10-31,58.83
2016-11-01,58.73
2016-11-02,58.42
2016-11-03,57.71
2016-11-04,56.93
2016-11-07,55.23
2016-11-08,56.21
2016-11-09,55.04
2016-11-10,55.76
2016-11-11,54.86
